date,style,site,sales,inventory,original_price,current_price,cost,launch_date
2024-01-01,ATH-RUN-2024-BLK,STORE_001,12,450,129.99,129.99,45.50,2023-12-15
2024-01-02,ATH-RUN-2024-BLK,STORE_001,8,442,129.99,129.99,45.50,2023-12-15
2024-01-03,ATH-RUN-2024-BLK,STORE_001,15,427,129.99,129.99,45.50,2023-12-15
2024-01-04,ATH-RUN-2024-BLK,STORE_001,11,416,129.99,129.99,45.50,2023-12-15
2024-01-05,ATH-RUN-2024-BLK,STORE_001,19,397,129.99,129.99,45.50,2023-12-15
2024-01-06,ATH-RUN-2024-BLK,STORE_001,22,375,129.99,129.99,45.50,2023-12-15
2024-01-07,ATH-RUN-2024-BLK,STORE_001,18,357,129.99,129.99,45.50,2023-12-15
2024-01-08,ATH-RUN-2024-BLK,STORE_001,14,343,129.99,129.99,45.50,2023-12-15
2024-01-09,ATH-RUN-2024-BLK,STORE_001,16,327,129.99,129.99,45.50,2023-12-15
2024-01-10,ATH-RUN-2024-BLK,STORE_001,13,314,129.99,129.99,45.50,2023-12-15
2024-01-11,ATH-RUN-2024-BLK,STORE_001,17,297,129.99,129.99,45.50,2023-12-15
2024-01-12,ATH-RUN-2024-BLK,STORE_001,21,276,129.99,129.99,45.50,2023-12-15
2024-01-13,ATH-RUN-2024-BLK,STORE_001,25,251,129.99,129.99,45.50,2023-12-15
2024-01-14,ATH-RUN-2024-BLK,STORE_001,19,232,129.99,129.99,45.50,2023-12-15
2024-01-15,ATH-RUN-2024-BLK,STORE_001,14,218,129.99,129.99,45.50,2023-12-15
2024-01-16,ATH-RUN-2024-BLK,STORE_001,16,202,129.99,129.99,45.50,2023-12-15
2024-01-17,ATH-RUN-2024-BLK,STORE_001,12,190,129.99,129.99,45.50,2023-12-15
2024-01-18,ATH-RUN-2024-BLK,STORE_001,18,172,129.99,129.99,45.50,2023-12-15
2024-01-19,ATH-RUN-2024-BLK,STORE_001,15,157,129.99,129.99,45.50,2023-12-15
2024-01-20,ATH-RUN-2024-BLK,STORE_001,20,137,129.99,129.99,45.50,2023-12-15
2024-01-21,ATH-RUN-2024-BLK,STORE_001,11,126,129.99,129.99,45.50,2023-12-15
2024-01-22,ATH-RUN-2024-BLK,STORE_001,13,113,129.99,129.99,45.50,2023-12-15
2024-01-23,ATH-RUN-2024-BLK,STORE_001,9,104,129.99,129.99,45.50,2023-12-15
2024-01-24,ATH-RUN-2024-BLK,STORE_001,14,90,129.99,129.99,45.50,2023-12-15
2024-01-25,ATH-RUN-2024-BLK,STORE_001,12,78,129.99,129.99,45.50,2023-12-15
2024-01-26,ATH-RUN-2024-BLK,STORE_001,16,62,129.99,129.99,45.50,2023-12-15
2024-01-27,ATH-RUN-2024-BLK,STORE_001,19,43,129.99,129.99,45.50,2023-12-15
2024-01-28,ATH-RUN-2024-BLK,STORE_001,15,28,129.99,129.99,45.50,2023-12-15
2024-01-29,ATH-RUN-2024-BLK,STORE_001,10,18,129.99,129.99,45.50,2023-12-15
2024-01-30,ATH-RUN-2024-BLK,STORE_001,8,10,129.99,129.99,45.50,2023-12-15
2024-01-31,ATH-RUN-2024-BLK,STORE_001,7,3,129.99,129.99,45.50,2023-12-15
2024-02-01,ATH-RUN-2024-BLK,STORE_001,3,0,129.99,129.99,45.50,2023-12-15
2024-02-02,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-03,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-04,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-05,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-06,ATH-RUN-2024-BLK,STORE_001,,0,129.99,129.99,45.50,2023-12-15
2024-02-07,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-08,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-09,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-10,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-02-11,ATH-RUN-2024-BLK,STORE_001,5,125,129.99,129.99,45.50,2023-12-15
2024-02-12,ATH-RUN-2024-BLK,STORE_001,8,117,129.99,129.99,45.50,2023-12-15
2024-02-13,ATH-RUN-2024-BLK,STORE_001,12,105,129.99,129.99,45.50,2023-12-15
2024-02-14,ATH-RUN-2024-BLK,STORE_001,15,90,129.99,129.99,45.50,2023-12-15
2024-02-15,ATH-RUN-2024-BLK,STORE_001,9,81,129.99,129.99,45.50,2023-12-15
2024-02-16,ATH-RUN-2024-BLK,STORE_001,11,70,129.99,129.99,45.50,2023-12-15
2024-02-17,ATH-RUN-2024-BLK,STORE_001,7,63,129.99,129.99,45.50,2023-12-15
2024-02-18,ATH-RUN-2024-BLK,STORE_001,10,53,129.99,129.99,45.50,2023-12-15
2024-02-19,ATH-RUN-2024-BLK,STORE_001,8,45,129.99,129.99,45.50,2023-12-15
2024-02-20,ATH-RUN-2024-BLK,STORE_001,6,39,129.99,129.99,45.50,2023-12-15
2024-02-21,ATH-RUN-2024-BLK,STORE_001,9,30,129.99,129.99,45.50,2023-12-15
2024-02-22,ATH-RUN-2024-BLK,STORE_001,7,23,129.99,129.99,45.50,2023-12-15
2024-02-23,ATH-RUN-2024-BLK,STORE_001,5,18,129.99,129.99,45.50,2023-12-15
2024-02-24,ATH-RUN-2024-BLK,STORE_001,6,12,129.99,129.99,45.50,2023-12-15
2024-02-25,ATH-RUN-2024-BLK,STORE_001,4,8,129.99,129.99,45.50,2023-12-15
2024-02-26,ATH-RUN-2024-BLK,STORE_001,3,5,129.99,129.99,45.50,2023-12-15
2024-02-27,ATH-RUN-2024-BLK,STORE_001,2,3,129.99,129.99,45.50,2023-12-15
2024-02-28,ATH-RUN-2024-BLK,STORE_001,1,2,129.99,129.99,45.50,2023-12-15
2024-02-29,ATH-RUN-2024-BLK,STORE_001,2,0,129.99,129.99,45.50,2023-12-15
2024-03-01,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-02,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-03,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-04,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-05,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-06,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-07,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-08,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-09,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,129.99,45.50,2023-12-15
2024-03-10,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,99.99,45.50,2023-12-15
2024-03-11,ATH-RUN-2024-BLK,STORE_001,8,42,129.99,99.99,45.50,2023-12-15
2024-03-12,ATH-RUN-2024-BLK,STORE_001,12,30,129.99,99.99,45.50,2023-12-15
2024-03-13,ATH-RUN-2024-BLK,STORE_001,15,15,129.99,99.99,45.50,2023-12-15
2024-03-14,ATH-RUN-2024-BLK,STORE_001,10,5,129.99,99.99,45.50,2023-12-15
2024-03-15,ATH-RUN-2024-BLK,STORE_001,5,0,129.99,99.99,45.50,2023-12-15
2024-03-16,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,99.99,45.50,2023-12-15
2024-03-17,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,99.99,45.50,2023-12-15
2024-03-18,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,79.99,45.50,2023-12-15
2024-03-19,ATH-RUN-2024-BLK,STORE_001,18,32,129.99,79.99,45.50,2023-12-15
2024-03-20,ATH-RUN-2024-BLK,STORE_001,22,10,129.99,79.99,45.50,2023-12-15
2024-03-21,ATH-RUN-2024-BLK,STORE_001,10,0,129.99,79.99,45.50,2023-12-15
2024-03-22,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,79.99,45.50,2023-12-15
2024-03-23,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,79.99,45.50,2023-12-15
2024-03-24,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,79.99,45.50,2023-12-15
2024-03-25,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,59.99,45.50,2023-12-15
2024-03-26,ATH-RUN-2024-BLK,STORE_001,25,65,129.99,59.99,45.50,2023-12-15
2024-03-27,ATH-RUN-2024-BLK,STORE_001,28,37,129.99,59.99,45.50,2023-12-15
2024-03-28,ATH-RUN-2024-BLK,STORE_001,31,6,129.99,59.99,45.50,2023-12-15
2024-03-29,ATH-RUN-2024-BLK,STORE_001,6,0,129.99,59.99,45.50,2023-12-15
2024-03-30,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,59.99,45.50,2023-12-15
2024-03-31,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,49.99,45.50,2023-12-15
2024-04-01,ATH-RUN-2024-BLK,STORE_001,35,85,129.99,49.99,45.50,2023-12-15
2024-04-02,ATH-RUN-2024-BLK,STORE_001,42,43,129.99,49.99,45.50,2023-12-15
2024-04-03,ATH-RUN-2024-BLK,STORE_001,38,5,129.99,49.99,45.50,2023-12-15
2024-04-04,ATH-RUN-2024-BLK,STORE_001,5,0,129.99,49.99,45.50,2023-12-15
2024-04-05,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,49.99,45.50,2023-12-15
2024-04-06,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,49.99,45.50,2023-12-15
2024-04-07,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,49.99,45.50,2023-12-15
2024-04-08,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,49.99,45.50,2023-12-15
2024-04-09,ATH-RUN-2024-BLK,STORE_001,0,0,129.99,49.99,45.50,2023-12-15
